Codigo,Direccion,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
4989712,"METRO PARQUE O'HIGGINS / AV MATTA, Santiago",-33.45993,-70.65404,2D/2B,2620,0,47,49,venta,departamento
4991842,"Santa Isabel / Carmen, Santiago",-33.4497,-70.64206,2D/1B,2681,0,48,48,venta,departamento
4641842,"Irarrazabal, Ñuñoa",-33.4508,-70.62966,1D/1B,2690,0,36,38,venta,departamento
5015400,"Depto Av. Ecuador, Metro Ecuador Con Estacionamiento Y Bodega, Estación Central",-33.45376,-70.69896,2D/2B,2700,0,44,54,venta,departamento
5030691,"Serrano Con Santa Isabel, Santiago",-33.45262,-70.64777,2D/1B,2700,0,40,42,venta,departamento
4971260,"La Marina 1261, San Miguel",-33.49708,-70.65656,3D/2B,2715,0,62,65,venta,departamento
5040154,"Doctor Johow 995, Ñuñoa",-33.46467,-70.59424,1D/1B,2730,0,33,36,venta,departamento
4931475,"Avenida Grecia 2504 - Departamento 204, Ñuñoa",-33.46214,-70.60524,2D/1B,2783,0,63,63,venta,departamento
4953165,"San Martín / Compañía, Santiago",-33.43893,-70.65799,2D/2B,2800,0,45,49,venta,departamento
4984389,"Exequiel Fernandez 1938, Ñuñoa",-33.47307,-70.60114,1D/1B,2800,0,39,42,venta,departamento
5008209,"Exequiel Fernandez 1555, Ñuñoa",-33.46945,-70.60061,1D/1B,2830,0,38,40,venta,departamento
5023427,"Eleuterio Ramirez/ San Diego, Santiago",-33.44925,-70.65006,2D/1B,2841,0,43,45,venta,departamento
5028179,"José Benavente / Metro Chile España, Ñuñoa",-33.45464,-70.59751,1D/1B,2850,0,40,41,venta,departamento
5024582,"Argomedo / Vicuña Mackenna, Santiago",-33.4487,-70.63288,2D/2B,2858,0,52,54,venta,departamento
4987289,"Casona Harrington, Cercano A Metro Toesca, Santiago",-33.45201,-70.65609,2D/2B,2860,0,43,43,venta,departamento
5013520,"Antonio Bellet 90 - Departamento 1108, Providencia",-33.42646,-70.61726,1D/1B,2860,0,22,24,venta,departamento
5023115,"Froilán Roa 6767, La Florida",-33.51564,-70.59929,3D/2B,2900,0,70,75,venta,departamento
4992094,"Independencia 740, Independencia",-33.41335,-70.66629,3D/2B,2931,0,70,73,venta,departamento
4792155,"Cerro Blanco, Recoleta",-33.4205,-70.645,2D/2B,2934,0,63,67,venta,departamento
4988319,"VENTA PROMESA DE COMPRAVENTA, Las Condes",-33.4132,-70.5426,3D/4B,2950,0,136,162,venta,departamento
5022761,"Avenida Macul, Macul",-33.47814,-70.59841,1D/1B,2966,0,50,55,venta,departamento
4881147,"LORETO/SANTA FILOMENA/PARQUE FORESTAL, Recoleta",-33.4294,-70.6419,2D/2B,2999,0,53,53,venta,departamento
4978757,"Avenida Salesianos 1440, San Miguel",-33.49074,-70.65861,2D/2B,3036,0,53,55,venta,departamento
5000940,"Metro Parque Bustamante, Santiago",-33.44387,-70.63337,2D/1B,3038,0,46,46,venta,departamento
4862135,"Gran Avenida Jose Miguel Carrera 6300, San Miguel",-33.51423,-70.65761,3D/2B,3059,0,65,65,venta,departamento
4882485,"Dieciocho /Santa Isabel, Santiago",-33.4476,-70.6583,2D/2B,3100,0,45,48,venta,departamento
5006967,"Vicuña Mackena Con Matta, Maitén Propiedades Donamos 5% De La Comision, Corretaje Con Sentido, Santiago",-33.45506,-70.63191,2D/2B,3100,0,50,53,venta,departamento
5024635,"San Pablo / Teatinos, Santiago",-33.43422,-70.65569,2D/2B,3100,0,61,63,venta,departamento
5024631,"Amunategui / San Pablo, Santiago",-33.43417,-70.65758,2D/2B,3124,0,59,63.5,venta,departamento
